County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Beneficiaries with Part A and Part B,FFS Beneficiaries,MA Beneficiaries,MA Participation Rate (%),Average Age,Percent Female,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Other/Unknown,Percent Eligible for Medicaid,Average HCC Score
King,530332008,200853033,2008,53033,206755,152198,54557,0.3,72,0.6,0.4,0.8,0.1,0.0,0.1,0.2,0.91
Kitsap,530352008,200853035,2008,53035,33702,28002,5700,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.91
Kittitas,530372008,200853037,2008,53037,5368,4851,517,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.77
Klickitat,530392008,200853039,2008,53039,4003,3520,483,0.1,71,0.5,0.5,,,,,0.2,0.76
Lewis,530412008,200853041,2008,53041,14689,11205,3484,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.87
Lincoln,530432008,200853043,2008,53043,2373,2192,181,0.1,73,0.5,0.5,,,,,0.1,0.83
Mason,530452008,200853045,2008,53045,11868,9261,2607,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.81
Okanogan,530472008,200853047,2008,53047,7725,6634,1091,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.82
Pacific,530492008,200853049,2008,53049,5850,5290,560,0.1,72,0.5,0.5,,,,,0.2,0.86
Pend Oreille,530512008,200853051,2008,53051,2328,2034,294,0.1,70,0.5,0.5,,,,,0.2,0.84
Pierce,530532008,200853053,2008,53053,96465,75602,20863,0.2,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.92
San Juan,530552008,200853055,2008,53055,3280,2782,498,0.2,73,0.5,0.5,,,,,0.1,0.69
Skagit,530572008,200853057,2008,53057,20045,14925,5120,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.84
Skamania,530592008,200853059,2008,53059,1495,1160,335,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.79
Snohomish,530612008,200853061,2008,53061,75227,49306,25921,0.3,71,0.6,0.4,0.9,0.0,0.0,0.1,0.2,0.93
Spokane,530632008,200853063,2008,53063,69277,55899,13378,0.2,72,0.6,0.4,0.9,0.0,0.0,0.0,0.2,0.94
Stevens,530652008,200853065,2008,53065,8372,7071,1301,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.82
Thurston,530672008,200853067,2008,53067,35210,23837,11373,0.3,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.87
Wahkiakum,530692008,200853069,2008,53069,997,701,296,0.3,72,0.5,0.5,,,,,0.1,0.86
Walla Walla,530712008,200853071,2008,53071,9529,8098,1431,0.2,74,0.6,0.4,0.9,0.0,0.0,0.0,0.2,0.96
Whatcom,530732008,200853073,2008,53073,28124,20908,7216,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.89
Whitman,530752008,200853075,2008,53075,4338,4006,332,0.1,74,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.91
Yakima,530772008,200853077,2008,53077,31340,26652,4688,0.1,72,0.5,0.5,0.8,0.0,0.1,0.0,0.3,0.94
STATE TOTAL,.2009,200953000,2009,.,867440,656321,211119,0.2,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012009,200953001,2009,53001,2080,1852,228,0.1,72,0.5,0.5,,,,,0.2,0.94
Asotin,530032009,200953003,2009,53003,4843,3989,854,0.2,72,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.92
Benton,530052009,200953005,2009,53005,21648,18385,3263,0.2,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.93
Chelan,530072009,200953007,2009,53007,12146,10207,1939,0.2,73,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.84
Clallam,530092009,200953009,2009,53009,18689,17210,1479,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.80
Clark,530112009,200953011,2009,53011,49377,24673,24704,0.5,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.92
Columbia,530132009,200953013,2009,53013,949,854,95,0.1,72,0.5,0.5,,,,,0.2,0.86
Cowlitz,530152009,200953015,2009,53015,18241,10595,7646,0.4,70,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.96
Douglas,530172009,200953017,2009,53017,5393,4482,911,0.2,73,0.5,0.5,,,,,0.2,0.88
Ferry,530192009,200953019,2009,53019,1435,1263,172,0.1,69,0.5,0.5,,,,,0.2,0.73
Franklin,530212009,200953021,2009,53021,6070,5079,991,0.2,71,0.5,0.5,0.8,0.0,0.1,0.0,0.2,0.96
Garfield,530232009,200953023,2009,53023,517,461,56,0.1,75,0.6,0.4,,,,,0.1,1.00
Grant,530252009,200953025,2009,53025,11547,9878,1669,0.1,72,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.88
Grays Harbor,530272009,200953027,2009,53027,13686,12490,1196,0.1,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.91
Island,530292009,200953029,2009,53029,14498,11248,3250,0.2,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.80
Jefferson,530312009,200953031,2009,53031,7961,7521,440,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.77
King,530332009,200953033,2009,53033,206755,152198,54557,0.3,72,0.6,0.4,0.8,0.1,0.0,0.1,0.2,0.91
Kitsap,530352009,200953035,2009,53035,33702,28002,5700,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.91
Kittitas,530372009,200953037,2009,53037,5368,4851,517,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.77
Klickitat,530392009,200953039,2009,53039,4003,3520,483,0.1,71,0.5,0.5,,,,,0.2,0.76
Lewis,530412009,200953041,2009,53041,14689,11205,3484,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.87
Lincoln,530432009,200953043,2009,53043,2373,2192,181,0.1,73,0.5,0.5,,,,,0.1,0.83
Mason,530452009,200953045,2009,53045,11868,9261,2607,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.81
Okanogan,530472009,200953047,2009,53047,7725,6634,1091,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.82
Pacific,530492009,200953049,2009,53049,5850,5290,560,0.1,72,0.5,0.5,,,,,0.2,0.86
Pend Oreille,530512009,200953051,2009,53051,2328,2034,294,0.1,70,0.5,0.5,,,,,0.2,0.84
Pierce,530532009,200953053,2009,53053,96465,75602,20863,0.2,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.92
San Juan,530552009,200953055,2009,53055,3280,2782,498,0.2,73,0.5,0.5,,,,,0.1,0.69
Skagit,530572009,200953057,2009,53057,20045,14925,5120,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.84
Skamania,530592009,200953059,2009,53059,1495,1160,335,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.79
Snohomish,530612009,200953061,2009,53061,75227,49306,25921,0.3,71,0.6,0.4,0.9,0.0,0.0,0.1,0.2,0.93
Spokane,530632009,200953063,2009,53063,69277,55899,13378,0.2,72,0.6,0.4,0.9,0.0,0.0,0.0,0.2,0.94
Stevens,530652009,200953065,2009,53065,8372,7071,1301,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.82
Thurston,530672009,200953067,2009,53067,35210,23837,11373,0.3,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.87
Wahkiakum,530692009,200953069,2009,53069,997,701,296,0.3,72,0.5,0.5,,,,,0.1,0.86
Walla Walla,530712009,200953071,2009,53071,9529,8098,1431,0.2,74,0.6,0.4,0.9,0.0,0.0,0.0,0.2,0.96
Whatcom,530732009,200953073,2009,53073,28124,20908,7216,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.89
Whitman,530752009,200953075,2009,53075,4338,4006,332,0.1,74,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.91
Yakima,530772009,200953077,2009,53077,31340,26652,4688,0.1,72,0.5,0.5,0.8,0.0,0.1,0.0,0.3,0.94
STATE TOTAL,.2010,201053000,2010,.,922783,666045,256738,0.3,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012010,201053001,2010,53001,2068,1769,299,0.1,72,0.5,0.5,,,,,0.2,0.92
Asotin,530032010,201053003,2010,53003,5002,3933,1069,0.2,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.92
Benton,530052010,201053005,2010,53005,23058,19500,3558,0.2,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.94
Chelan,530072010,201053007,2010,53007,12685,10625,2060,0.2,73,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.80
Clallam,530092010,201053009,2010,53009,19444,17279,2165,0.1,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.82
Clark,530112010,201053011,2010,53011,54274,25482,28792,0.5,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.95
Columbia,530132010,201053013,2010,53013,1051,916,135,0.1,72,0.5,0.5,,,,,0.2,0.85
Cowlitz,530152010,201053015,2010,53015,19250,10783,8467,0.4,70,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.97
Douglas,530172010,201053017,2010,53017,5738,4706,1032,0.2,73,0.5,0.5,,,,,0.2,0.81
Ferry,530192010,201053019,2010,53019,1576,1315,261,0.2,69,0.5,0.5,,,,,0.2,0.75
Franklin,530212010,201053021,2010,53021,6717,5648,1069,0.2,71,0.5,0.5,0.8,0.0,0.2,0.0,0.3,0.94
Garfield,530232010,201053023,2010,53023,532,455,77,0.1,74,0.6,0.4,,,,,0.2,0.91
Grant,530252010,201053025,2010,53025,12165,10371,1794,0.1,72,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.85
Grays Harbor,530272010,201053027,2010,53027,14352,13015,1337,0.1,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.93
Island,530292010,201053029,2010,53029,15612,11573,4039,0.3,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.79
Jefferson,530312010,201053031,2010,53031,8579,7834,745,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.77
King,530332010,201053033,2010,53033,220036,154647,65389,0.3,72,0.6,0.4,0.8,0.1,0.0,0.1,0.2,0.92
Kitsap,530352010,201053035,2010,53035,36154,29408,6746,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Kittitas,530372010,201053037,2010,53037,5671,5079,592,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.76
Klickitat,530392010,201053039,2010,53039,4275,3640,635,0.1,71,0.5,0.5,,,,,0.2,0.75
Lewis,530412010,201053041,2010,53041,15492,11295,4197,0.3,70,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.87
Lincoln,530432010,201053043,2010,53043,2387,2133,254,0.1,73,0.5,0.5,,,,,0.1,0.84
Mason,530452010,201053045,2010,53045,12576,9713,2863,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.82
Okanogan,530472010,201053047,2010,53047,8096,7304,792,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.76
Pacific,530492010,201053049,2010,53049,5999,5334,665,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.88
Pend Oreille,530512010,201053051,2010,53051,2644,2191,453,0.2,70,0.5,0.5,,,,,0.2,0.77
Pierce,530532010,201053053,2010,53053,102200,76530,25670,0.3,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.93
San Juan,530552010,201053055,2010,53055,3647,2925,722,0.2,74,0.5,0.5,,,,,0.1,0.69
Skagit,530572010,201053057,2010,53057,21173,14760,6413,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.82
Skamania,530592010,201053059,2010,53059,1649,1240,409,0.2,71,0.5,0.5,,,,,0.2,0.80
Snohomish,530612010,201053061,2010,53061,81301,49479,31822,0.4,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.94
Spokane,530632010,201053063,2010,53063,72429,53325,19104,0.3,72,0.6,0.4,0.9,0.0,0.0,0.0,0.2,0.95
Stevens,530652010,201053065,2010,53065,8915,7099,1816,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.84
Thurston,530672010,201053067,2010,53067,37534,24915,12619,0.3,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.87
Wahkiakum,530692010,201053069,2010,53069,1035,700,335,0.3,72,0.5,0.5,,,,,0.2,0.91
Walla Walla,530712010,201053071,2010,53071,9878,8274,1604,0.2,74,0.6,0.4,0.9,0.0,0.1,0.0,0.2,0.93
Whatcom,530732010,201053073,2010,53073,30296,20174,10122,0.3,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.91
Whitman,530752010,201053075,2010,53075,4517,4034,483,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.93
Yakima,530772010,201053077,2010,53077,32776,26642,6134,0.2,72,0.5,0.5,0.8,0.0,0.1,0.0,0.3,0.92
STATE TOTAL,.2011,201153000,2011,.,958036,683588,274448,0.3,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012011,201153001,2011,53001,2103,1807,296,0.1,72,0.5,0.5,,,,,0.2,0.89
Asotin,530032011,201153003,2011,53003,5167,4476,691,0.1,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.92
Benton,530052011,201153005,2011,53005,23970,20607,3363,0.1,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.92
Chelan,530072011,201153007,2011,53007,13105,11280,1825,0.1,73,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.79
Clallam,530092011,201153009,2011,53009,19984,18398,1586,0.1,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.80
Clark,530112011,201153011,2011,53011,57225,26264,30961,0.5,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.96
Columbia,530132011,201153013,2011,53013,1032,1005,27,0.0,72,0.5,0.5,,,,,0.2,0.88
Cowlitz,530152011,201153015,2011,53015,20013,11393,8620,0.4,70,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.96
Douglas,530172011,201153017,2011,53017,5982,5204,778,0.1,73,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.80
Ferry,530192011,201153019,2011,53019,1644,1439,205,0.1,70,0.5,0.5,,,,,0.2,0.73
Franklin,530212011,201153021,2011,53021,6987,6023,964,0.1,71,0.5,0.5,0.8,0.0,0.2,0.0,0.2,0.93
Garfield,530232011,201153023,2011,53023,535,474,61,0.1,74,0.5,0.5,,,,,0.2,0.89
Grant,530252011,201153025,2011,53025,12430,10913,1517,0.1,71,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.85
Grays Harbor,530272011,201153027,2011,53027,14791,14040,751,0.1,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.92
Island,530292011,201153029,2011,53029,16269,11820,4449,0.3,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.79
Jefferson,530312011,201153031,2011,53031,8875,8217,658,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.75
King,530332011,201153033,2011,53033,228554,155194,73360,0.3,72,0.6,0.4,0.8,0.1,0.0,0.1,0.2,0.92
Kitsap,530352011,201153035,2011,53035,37589,30533,7056,0.2,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.89
Kittitas,530372011,201153037,2011,53037,5923,5667,256,0.0,72,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.75
Klickitat,530392011,201153039,2011,53039,4459,4263,196,0.0,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.74
Lewis,530412011,201153041,2011,53041,15904,11827,4077,0.3,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.89
Lincoln,530432011,201153043,2011,53043,2426,2152,274,0.1,73,0.5,0.5,,,,,0.1,0.81
Mason,530452011,201153045,2011,53045,12959,10222,2737,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.82
Okanogan,530472011,201153047,2011,53047,8364,7507,857,0.1,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.75
Pacific,530492011,201153049,2011,53049,6091,5458,633,0.1,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.83
Pend Oreille,530512011,201153051,2011,53051,2737,2243,494,0.2,70,0.5,0.5,,,,,0.2,0.78
Pierce,530532011,201153053,2011,53053,105966,77598,28368,0.3,71,0.5,0.5,0.8,0.1,0.0,0.1,0.2,0.94
San Juan,530552011,201153055,2011,53055,3852,3077,775,0.2,73,0.5,0.5,,,,,0.1,0.70
Skagit,530572011,201153057,2011,53057,22001,14865,7136,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.81
Skamania,530592011,201153059,2011,53059,1692,1455,237,0.1,71,0.5,0.5,,,,,0.2,0.77
Snohomish,530612011,201153061,2011,53061,85018,50125,34893,0.4,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.93
Spokane,530632011,201153063,2011,53063,74922,52441,22481,0.3,71,0.6,0.4,0.9,0.0,0.0,0.0,0.2,0.96
Stevens,530652011,201153065,2011,53065,9217,7925,1292,0.1,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.84
Thurston,530672011,201153067,2011,53067,39120,25948,13172,0.3,70,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.88
Wahkiakum,530692011,201153069,2011,53069,1073,849,224,0.2,72,0.5,0.5,,,,,0.1,0.79
Walla Walla,530712011,201153071,2011,53071,10084,8957,1127,0.1,74,0.6,0.4,0.9,0.0,0.1,0.0,0.2,0.95
Whatcom,530732011,201153073,2011,53073,31681,20515,11166,0.4,72,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.91
Whitman,530752011,201153075,2011,53075,4626,4343,283,0.1,73,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.91
Yakima,530772011,201153077,2011,53077,33666,27064,6602,0.2,71,0.5,0.5,0.8,0.0,0.1,0.0,0.3,0.92
STATE TOTAL,.2012,201253000,2012,.,999522,684733,314789,0.3,71,0.5,0.5,0.9,0.0,0.0,0.1,0.2,0.90
Adams,530012012,201253001,2012,53001,2157,1811,346,0.2,72,0.5,0.5,,,,,0.2,0.94
Asotin,530032012,201253003,2012,53003,5248,4475,773,0.1,71,0.5,0.5,1.0,0.0,0.0,0.0,0.2,0.91
Benton,530052012,201253005,2012,53005,25071,21219,3852,0.2,71,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.91
Chelan,530072012,201253007,2012,53007,13595,10982,2613,0.2,73,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.79
Clallam,530092012,201253009,2012,53009,20549,18673,1876,0.1,73,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.78
Clark,530112012,201253011,2012,53011,60522,27055,33467,0.6,70,0.5,0.5,0.9,0.0,0.0,0.1,0.3,0.96
Columbia,530132012,201253013,2012,53013,1053,1012,41,0.0,72,0.5,0.5,,,,,0.2,0.83
Cowlitz,530152012,201253015,2012,53015,20898,11357,9541,0.5,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.97
Douglas,530172012,201253017,2012,53017,6213,5109,1104,0.2,72,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.81
Ferry,530192012,201253019,2012,53019,1688,1409,279,0.2,70,0.5,0.5,,,,,0.2,0.74
Franklin,530212012,201253021,2012,53021,7249,6132,1117,0.2,71,0.5,0.5,0.7,0.0,0.2,0.0,0.2,0.93
Garfield,530232012,201253023,2012,53023,543,481,62,0.1,73,0.5,0.5,,,,,0.2,0.90
Grant,530252012,201253025,2012,53025,12782,10836,1946,0.2,71,0.5,0.5,0.9,0.0,0.1,0.0,0.2,0.84
Grays Harbor,530272012,201253027,2012,53027,15199,14251,948,0.1,70,0.5,0.5,0.9,0.0,0.0,0.0,0.2,0.90
Island,530292012,201253029,2012,53029,17036,11755,5281,0.3,72,0.5,0.5,0.9,0.0,0.0,0.0,0.1,0.80
Jefferson,530312012,201253031,2012,53031,9295,8524,771,0.1,72,0.5,0.5,1.0,0.0,0.0,0.0,0.1,0.75
King,530332012,201253033,2012,53033,238457,155126,83331,0.3,73,0.6,0.4,0.8,0.1,0.0,0.1,0.2,0.92
